PASS agent-handoff (compatibility, 3 cases)
PASS fda-device-classification-product-code (compatibility, 3 cases)
PASS fda-dual-510k-clia-waiver (compatibility, 3 cases)
PASS fda-estar-submission-builder (compatibility, 4 cases)
PASS fda-ivd-clia-waiver (compatibility, 3 cases)
PASS fda-medical-device-ivd-regulatory-specialist (compatibility, 3 cases)
PASS fda-pccp-change-control (compatibility, 3 cases)
PASS fda-qmsr-inspection-readiness (compatibility, 3 cases)
PASS fda-qmsr-iso13485-gap (compatibility, 3 cases)
PASS fda-qsub-strategy (compatibility, 3 cases)
PASS fda-recall-status-termination (compatibility, 4 cases)
PASS fda-registration-listing-udi (compatibility, 3 cases)
PASS freedom-to-operate-assessment (compatibility, 6 cases)
PASS frontend-design-director (compatibility, 3 cases)
PASS frontend-design-review (compatibility, 3 cases)
PASS frontend-design-shaping (compatibility, 3 cases)
PASS frontend-design-system-context (compatibility, 3 cases)
FAIL frontend-product-context (compatibility, 3 cases)
PASS human-procedure-wizard (compatibility, 3 cases)
PASS iec62304-software-lifecycle (compatibility, 3 cases)
PASS iec62366-usability-engineering (compatibility, 3 cases)
PASS implement-from-issue (compatibility, 3 cases)
PASS inbox-action-triage (compatibility, 3 cases)
PASS iso13485-qms-audit (compatibility, 3 cases)
PASS iso27001-isms-audit (compatibility, 3 cases)
PASS iterate-software-projects (compatibility, 3 cases)
PASS ivdr-analytical-performance (compatibility, 3 cases)
PASS ivdr-class-d-conformity (compatibility, 3 cases)
PASS ivdr-clinical-performance-study (compatibility, 3 cases)
PASS ivdr-companion-diagnostic-consultation (compatibility, 3 cases)
PASS ivdr-device-classification (compatibility, 3 cases)
PASS ivdr-economic-operator-postmarket-propagation (compatibility, 4 cases)
PASS ivdr-field-safety-corrective-action (compatibility, 4 cases)
PASS ivdr-fsca-status-final-reporting (compatibility, 4 cases)
PASS ivdr-inhouse-health-institution (compatibility, 3 cases)
PASS ivdr-performance-evaluation (compatibility, 3 cases)
PASS ivdr-performance-evaluation-report (compatibility, 3 cases)
PASS ivdr-pmpf (compatibility, 3 cases)
PASS ivdr-pms-vigilance (compatibility, 6 cases)
PASS ivdr-scientific-validity (compatibility, 3 cases)
PASS job-description-authoring (compatibility, 3 cases)
PASS knowledge-map-generator (compatibility, 3 cases)
PASS knowledge-view (compatibility, 3 cases)
PASS large-work-wayfinder (compatibility, 3 cases)
PASS learning-assessment (compatibility, 3 cases)
PASS learning-assessment-spec (compatibility, 3 cases)
PASS learning-mission (compatibility, 3 cases)
PASS learning-next-step (compatibility, 3 cases)
PASS learning-state (compatibility, 3 cases)
PASS llm-prose-pattern-audit (compatibility, 3 cases)
PASS mdcg-guidance-navigator (compatibility, 3 cases)
PASS mdsap-audit-readiness (compatibility, 3 cases)
PASS measurement-system-validation (compatibility, 3 cases)
PASS medical-device-adverse-event-coding (compatibility, 3 cases)
PASS medical-device-capa (compatibility, 3 cases)
PASS medical-device-complaint-customer-followup (compatibility, 4 cases)
PASS medical-device-complaint-handling (compatibility, 4 cases)
PASS medical-device-complaint-regulatory-routing (compatibility, 5 cases)
PASS medical-device-customer-contact-intake (compatibility, 4 cases)
PASS medical-device-cybersecurity-lifecycle (compatibility, 3 cases)
PASS medical-device-field-action-communication (compatibility, 4 cases)
PASS medical-device-field-action-effectiveness (compatibility, 4 cases)
PASS medical-device-field-action-physical-execution (compatibility, 4 cases)
PASS medical-device-isms-governance (compatibility, 3 cases)
PASS medical-device-labeling-ifu (compatibility, 3 cases)
PASS medical-device-pms-system (compatibility, 3 cases)
PASS medical-device-privacy-gdpr-bdsg (compatibility, 3 cases)
PASS medical-device-qms-iso13485 (compatibility, 3 cases)
PASS medical-device-regulatory-strategy (compatibility, 3 cases)
PASS medical-device-risk-management-iso14971 (compatibility, 3 cases)
PASS medical-device-service-report-quality-routing (compatibility, 3 cases)
PASS meeting-preparation (compatibility, 3 cases)
PASS memory-sync-reconciliation (compatibility, 3 cases)
PASS merge-conflict-resolution (compatibility, 3 cases)
PASS nonconformance-mrb-disposition (compatibility, 3 cases)
PASS obsidian-adapter (compatibility, 3 cases)
PASS opaque-system-analysis (compatibility, 3 cases)
PASS openasr-offline-model-import (compatibility, 3 cases)
PASS patent-landscape-analysis (compatibility, 6 cases)
PASS precision-language-rewriter (compatibility, 3 cases)
PASS precision-writing-revision (compatibility, 3 cases)
PASS process-validation-iq-oq-pq (compatibility, 3 cases)
PASS project-beta-readiness (compatibility, 3 cases)
PASS project-status-brief (compatibility, 3 cases)
PASS qms-management-review-action-followup (compatibility, 3 cases)
PASS qms-management-review-governance (compatibility, 3 cases)
PASS quality-record-integrity (compatibility, 3 cases)
PASS regulated-product-context (compatibility, 3 cases)
PASS regulatory-change-impact-orchestrator (compatibility, 3 cases)
PASS regulatory-change-monitoring (compatibility, 3 cases)
PASS regulatory-claims-consistency (compatibility, 3 cases)
PASS regulatory-evidence-traceability (compatibility, 3 cases)
PASS repository-skill-bootstrap (compatibility, 3 cases)
PASS research-to-evidence-note (compatibility, 3 cases)
PASS rewrite-fidelity-verifier (compatibility, 3 cases)
PASS role-architecture (compatibility, 3 cases)
PASS role-requirements-grilling (compatibility, 3 cases)
PASS round-based-requirements-grilling (compatibility, 3 cases)
PASS source-to-context (compatibility, 3 cases)
PASS spec-to-vertical-issues (compatibility, 3 cases)
PASS sport-diagnostics-training-report-workflow (compatibility, 3 cases)
PASS sport-performance-diagnostics (compatibility, 3 cases)Evaluation failed:
- skills/frontend-product-context/tests/evaluation.json:happy-path: anchor not found in SKILL.md: 'Repo-Evidenz erheben'

PASS sport-training-programming (compatibility, 3 cases)
PASS structured-knowledge-artifact (compatibility, 3 cases)
PASS supplier-quality-medical-device (compatibility, 3 cases)
PASS synapse-orchestrator (compatibility, 3 cases)
PASS teach (compatibility, 3 cases)
PASS technology-due-diligence (compatibility, 6 cases)
PASS technology-offer-assessment (compatibility, 7 cases)
PASS test-driven-vertical-slice (compatibility, 3 cases)
PASS throwaway-prototype (compatibility, 3 cases)
PASS two-axis-code-review (compatibility, 3 cases)
PASS two-axis-compliance-review (compatibility, 3 cases)
Summary: 151 suites, FAIL
